2,EXTRA MILEAGE FURTHEST STARTING NODES,EXTRA MILEAGE FURTHEST STARTING NODES + 2OPT
a280,2925,2481
ali535,249791,213842
att532,31727,27822
d1291,58658,49801
d1655,70859,62224
d2103,90749,81317
d493,37891,34144
d657,55819,49702
fl1400,22414,18970
fl1577,25648,22486
fl417,12903,10389
gil262,2757,2385
gr202,45027,37119
gr229,151804,129046
gr431,197457,166131
gr666,344747,310679
kroA200,36688,31479
kroB200,36547,31621
lin318,53015,43799
nrw1379,65170,59407
p654,36641,32002
pcb1173,68930,59509
pcb442,60241,50706
pr1002,299282,271242
pr226,92089,68368
pr264,53799,45577
pr299,58260,49187
pr439,122924,106329
rand10_1007,105991,94426
rand11_2143,265599,239837
rand1_1320,148976,134007
rand12_1592,150709,134647
rand13_2236,348963,316404
rand14_1198,46178,41666
rand15_1723,247463,225641
rand16_1381,38728,34523
rand17_743,215995,192658
rand18_949,29578,26157
rand19_2056,108320,99164
rand20_2151,90188,82117
rand21_1697,161010,144909
rand22_1773,329556,297345
rand2_2189,141330,126415
rand23_2104,194801,176090
rand24_1892,219270,198154
rand25_1711,86387,78048
rand26_2097,152761,138472
rand27_786,121184,105396
rand28_831,209815,183295
rand29_722,199314,174243
rand30_1852,274874,248142
rand3_1046,283274,251398
rand31_1538,208344,185864
rand32_1527,193567,171496
rand33_1335,257962,231551
rand34_522,183866,162518
rand35_2058,170982,155095
rand36_730,204256,179544
rand37_2037,182544,164203
rand38_1260,138753,125095
rand39_820,155637,137416
rand40_2223,372718,339725
rand41_1158,149520,132813
rand4_2126,202345,181863
rand42_2238,373543,338657
rand43_1640,127322,114571
rand44_1000,190697,170568
rand45_1606,192519,175049
rand46_1930,137201,123318
rand47_2279,130363,119157
rand48_2131,62655,56803
rand49_857,186408,164334
rand50_1440,286793,259489
rand5_1705,104533,94175
rand51_873,182988,163256
rand52_1269,109971,99059
rand53_1942,104151,92533
rand54_1201,293540,260514
rand55_1643,289539,263600
rand56_2160,218056,196300
rand57_1349,216220,193908
rand6_1135,76795,69431
rand7_541,34463,29729
rand8_834,148853,131754
rand9_1728,353893,316891
rat575,7842,6882
rat783,10324,9095
rd400,18515,15946
rl1304,307204,260373
rl1323,326022,282863
rl1889,397657,338893
ts225,155946,114090
tsp225,4367,3625
u1060,261154,231400
u1432,175331,161241
u1817,66043,59036
u574,43518,37870
u724,50240,43687
vm1084,276340,247664
vm1748,399217,355420
