2,TABU,gen00
ali535,211204,214519
att532,28703,29669
d1291,51656,54348
d1655,64272,66491
d2103,81519,85781
d493,36416,36911
d657,50935,52699
fl1400,21178,20572
fl1577,22662,23332
fl3795,29210,30951
fl417,12196,11995
fnl4461,191506,216287
gr431,176446,180922
gr666,313535,323078
nrw1379,59101,61952
p654,35383,35154
pcb1173,59717,61878
pcb3038,144001,151797
pcb442,51898,53473
pr1002,272865,281225
pr2392,395578,421152
pr439,111246,110238
rand10_4380,392984,413921
rand11_935,50466,51971
rand12_4571,371725,391063
rand13_2273,343902,359263
rand14_4568,494238,523587
rand1_4723,79280,82589
rand15_1164,48052,49381
rand16_4398,81453,85839
rand17_3554,51783,54200
rand18_4261,75129,79748
rand19_1428,197169,203052
rand20_1015,143576,149855
rand21_659,153003,156380
rand22_400,153044,153477
rand23_1878,98068,102481
rand2_3608,184528,192266
rand24_4476,216507,231896
rand25_4615,498343,526329
rand26_2676,219054,231761
rand27_3851,455976,477065
rand28_806,107224,111385
rand29_3862,306322,322421
rand30_1330,224336,233085
rand31_4848,285181,300843
rand3_2120,278314,291274
rand32_2993,91332,96626
rand33_4784,275130,287811
rand34_4223,228110,242150
rand35_4489,236477,248260
rand36_3805,218928,231499
rand37_2279,85273,88067
rand38_455,23281,23430
rand39_1228,67502,69885
rand40_2406,330809,348592
rand41_2688,299647,311670
rand42_3503,355626,374565
rand4_2838,370202,387334
rand43_1626,211759,220597
rand44_2356,46081,47756
rand45_4516,111846,117487
rand46_4524,470503,494669
rand47_2859,192728,202677
rand48_2464,211541,221419
rand49_758,140008,143631
rand50_4319,336097,356163
rand51_1632,79568,82626
rand52_3856,370835,389431
rand53_1658,45689,47414
rand5_4198,462206,484688
rand54_4541,205742,217027
rand55_1099,179410,188503
rand56_1013,71344,74230
rand57_1858,184134,193031
rand58_3580,415873,438181
rand59_4547,310609,330383
rand60_1236,222419,233561
rand61_3984,387330,405888
rand62_1256,243788,253388
rand63_4341,147645,156080
rand6_4645,160888,168174
rand7_2243,249766,260291
rand8_3803,185252,196185
rand9_1609,296591,307424
rat575,7072,7443
rat783,9225,9619
rd400,15833,16033
rl1304,271487,272004
rl1323,282353,290846
rl1889,335696,344021
u1060,234844,247664
u1432,157205,167713
u1817,59828,63788
u2152,66566,72175
u2319,236897,250055
u574,38882,39631
u724,44019,45695
vm1084,251326,259786
vm1748,352422,368736
