2,TABU,TABU + GRASP
ali535,211204,224131
att532,28703,29175
d1291,51656,53597
d1655,64272,65281
d2103,81519,86493
d493,36416,36683
d657,50935,52138
fl1400,21178,21389
fl1577,22662,23979
fl3795,29210,31013
fl417,12196,12656
fnl4461,191506,202211
gr431,176446,183342
gr666,313535,323022
nrw1379,59101,60056
p654,35383,37249
pcb1173,59717,62134
pcb3038,144001,149070
pcb442,51898,52524
pr1002,272865,279121
pr2392,395578,411377
pr439,111246,111197
rand10_4380,392984,416098
rand11_935,50466,51640
rand12_4571,371725,392521
rand13_2273,343902,351536
rand14_4568,494238,531532
rand1_4723,79280,84590
rand15_1164,48052,49252
rand16_4398,81453,86479
rand17_3554,51783,53794
rand18_4261,75129,79793
rand19_1428,197169,200254
rand20_1015,143576,149401
rand21_659,153003,162507
rand22_400,153044,159463
rand23_1878,98068,101957
rand2_3608,184528,194370
rand24_4476,216507,233883
rand25_4615,498343,542056
rand26_2676,219054,228818
rand27_3851,455976,477823
rand28_806,107224,110828
rand29_3862,306322,323802
rand30_1330,224336,234319
rand31_4848,285181,309607
rand3_2120,278314,286735
rand32_2993,91332,95008
rand33_4784,275130,294175
rand34_4223,228110,241930
rand35_4489,236477,251207
rand36_3805,218928,230603
rand37_2279,85273,86698
rand38_455,23281,23391
rand39_1228,67502,69281
rand40_2406,330809,344127
rand41_2688,299647,308372
rand42_3503,355626,365786
rand4_2838,370202,386408
rand43_1626,211759,220479
rand44_2356,46081,47551
rand45_4516,111846,119682
rand46_4524,470503,500725
rand47_2859,192728,198304
rand48_2464,211541,219244
rand49_758,140008,145421
rand50_4319,336097,356010
rand51_1632,79568,83119
rand52_3856,370835,391184
rand53_1658,45689,47282
rand5_4198,462206,484325
rand54_4541,205742,218388
rand55_1099,179410,185737
rand56_1013,71344,73837
rand57_1858,184134,191795
rand58_3580,415873,434283
rand59_4547,310609,330654
rand60_1236,222419,232850
rand61_3984,387330,408983
rand62_1256,243788,253148
rand63_4341,147645,155630
rand6_4645,160888,171519
rand7_2243,249766,256198
rand8_3803,185252,195130
rand9_1609,296591,305708
rat575,7072,7174
rat783,9225,9506
rd400,15833,16449
rl1304,271487,270832
rl1323,282353,290724
rl1889,335696,347650
u1060,234844,241688
u1432,157205,158893
u1817,59828,60963
u2152,66566,69136
u2319,236897,238515
u574,38882,39155
u724,44019,44907
vm1084,251326,259201
vm1748,352422,366026
